[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Distance | Gap | Interval [µs]	Cepstrum	
2,064E+01	6,056E+00	
2,072E+01	7,420E+00	
2,080E+01	5,551E+00	
2,088E+01	6,776E+00	
2,096E+01	6,347E+00	
2,104E+01	4,616E+00	
2,112E+01	2,014E+00	
2,120E+01	1,795E+00	
2,128E+01	2,436E+00	
2,136E+01	5,412E+00	
2,144E+01	4,525E+00	
2,152E+01	5,641E+00	
2,160E+01	6,398E+00	
2,168E+01	5,146E+00	
2,176E+01	8,264E+00	
2,184E+01	3,852E+00	
2,192E+01	3,027E+00	
2,200E+01	6,876E+00	
2,208E+01	3,482E+00	
2,216E+01	3,598E+00	
2,224E+01	3,616E+00	
2,232E+01	3,887E+00	
2,240E+01	5,169E+00	
2,248E+01	3,995E+00	
2,256E+01	8,335E+00	
2,264E+01	6,696E+00	
2,272E+01	3,539E+00	
2,280E+01	7,285E+00	
2,288E+01	7,554E+00	
2,296E+01	8,955E+00	
2,304E+01	8,376E+00	
2,312E+01	8,343E+00	
2,320E+01	5,606E+00	
2,328E+01	4,868E+00	
2,336E+01	3,658E+00	
2,344E+01	1,020E+00	
2,352E+01	9,250E-01	
2,360E+01	1,411E+00	
2,368E+01	4,125E+00	
2,376E+01	9,522E+00	
2,384E+01	1,453E+01	
2,392E+01	1,192E+01	
2,400E+01	1,209E+01	
2,408E+01	1,220E+01	
2,416E+01	1,386E+01	
2,424E+01	1,337E+01	
2,432E+01	1,200E+01	
2,440E+01	1,332E+01	
2,448E+01	8,032E+00	
2,456E+01	4,945E+00	
2,464E+01	6,855E+00	
2,472E+01	6,051E+00	
2,480E+01	8,271E+00	
2,488E+01	7,349E+00	
2,496E+01	5,964E+00	
2,504E+01	7,643E+00	
2,512E+01	6,112E+00	
2,520E+01	8,412E+00	
2,528E+01	8,685E+00	
2,536E+01	8,000E+00	
2,544E+01	1,130E+01	
2,552E+01	9,512E+00	
2,560E+01	1,031E+01	
2,568E+01	8,381E+00	
2,576E+01	1,081E+01	
2,584E+01	1,049E+01	
2,592E+01	1,258E+01	
2,600E+01	1,226E+01	
2,608E+01	1,218E+01	
2,616E+01	7,579E+00	
2,624E+01	9,974E+00	
2,632E+01	9,275E+00	
2,640E+01	1,469E+01	
2,648E+01	1,222E+01	
2,656E+01	1,402E+01	
2,664E+01	8,299E+00	
2,672E+01	7,816E+00	
2,680E+01	1,021E+01	
2,688E+01	1,323E+01	
2,696E+01	1,718E+01	
2,704E+01	1,622E+01	
2,712E+01	1,149E+01	
2,720E+01	7,206E+00	
2,728E+01	1,049E+01	
2,736E+01	5,742E+00	
2,744E+01	8,063E+00	
2,752E+01	5,545E+00	
2,760E+01	9,218E+00	
2,768E+01	9,566E+00	
2,776E+01	1,175E+01	
2,784E+01	8,154E+00	
2,792E+01	9,185E+00	
2,800E+01	8,122E+00	
2,808E+01	1,288E+01	
2,816E+01	1,049E+01	
2,824E+01	1,160E+01	
2,832E+01	1,279E+01	
2,840E+01	1,485E+01	
2,848E+01	1,531E+01	
2,856E+01	1,410E+01	
2,864E+01	1,280E+01	
2,872E+01	1,699E+01	
2,880E+01	1,687E+01	
2,888E+01	1,803E+01	
2,896E+01	1,669E+01	
2,904E+01	1,057E+01	
2,912E+01	1,337E+01	
2,920E+01	9,697E+00	
2,928E+01	1,207E+01	
2,936E+01	1,544E+01	
2,944E+01	1,031E+01	
2,952E+01	1,157E+01	
2,960E+01	5,558E+00	
2,968E+01	8,764E+00	
2,976E+01	7,881E+00	
2,984E+01	8,249E+00	
2,992E+01	7,733E+00	
3,000E+01	7,584E+00	
3,008E+01	5,262E+00	
3,016E+01	7,287E+00	
3,024E+01	4,279E+00	
3,032E+01	1,101E+01	
3,040E+01	1,047E+01	
3,048E+01	1,413E+01	
3,056E+01	9,778E+00	
3,064E+01	1,565E+01	
3,072E+01	1,201E+01	
3,080E+01	8,883E+00	
3,088E+01	8,058E+00	
3,096E+01	1,351E+01	
3,104E+01	8,450E+00	
