[front_panel]
mode=T1 - R1
output=10 dB
gain=25 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
3,711E+00	1,450E+00	
3,723E+00	1,552E+00	
3,735E+00	1,006E+00	
3,748E+00	1,415E+00	
3,760E+00	2,236E+00	
3,772E+00	2,373E-01	
3,784E+00	2,180E+00	
3,796E+00	1,275E+00	
3,809E+00	7,460E-01	
3,821E+00	1,275E+00	
3,833E+00	1,509E+00	
3,845E+00	7,461E-01	
3,857E+00	1,594E+00	
3,870E+00	9,228E-01	
3,882E+00	1,043E+00	
3,894E+00	1,450E+00	
3,906E+00	3,676E-01	
3,918E+00	1,256E+00	
3,931E+00	1,238E+00	
3,943E+00	6,846E-01	
3,955E+00	1,124E+00	
3,967E+00	5,942E-01	
3,979E+00	6,214E-01	
3,992E+00	1,274E+00	
4,004E+00	3,947E-01	
4,016E+00	1,560E+00	
4,028E+00	3,044E-01	
4,041E+00	9,459E-01	
4,053E+00	8,337E-01	
4,065E+00	1,011E+00	
4,077E+00	7,717E-01	
4,089E+00	1,776E+00	
4,102E+00	5,454E-01	
4,114E+00	1,143E+00	
4,126E+00	2,206E-01	
4,138E+00	2,539E-01	
4,150E+00	9,772E-01	
4,163E+00	1,359E+00	
4,175E+00	1,229E+00	
4,187E+00	1,626E+00	
4,199E+00	2,847E-01	
4,211E+00	9,706E-01	
4,224E+00	8,506E-01	
4,236E+00	3,090E-01	
4,248E+00	1,377E+00	
4,260E+00	1,704E+00	
4,272E+00	1,281E+00	
4,285E+00	1,318E+00	
4,297E+00	4,725E-01	
4,309E+00	4,195E-01	
4,321E+00	1,336E+00	
4,333E+00	1,033E+00	
4,346E+00	1,535E+00	
4,358E+00	1,225E+00	
4,370E+00	5,256E-01	
4,382E+00	8,855E-01	
4,395E+00	1,476E+00	
4,407E+00	1,872E-01	
4,419E+00	1,456E+00	
4,431E+00	1,246E+00	
4,443E+00	8,661E-01	
4,456E+00	1,642E+00	
4,468E+00	9,101E-01	
4,480E+00	6,695E-01	
4,492E+00	1,820E+00	
4,504E+00	5,298E-01	
