[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
5,249E+00	9,476E-01	
5,261E+00	1,140E+00	
5,273E+00	1,230E+00	
5,286E+00	8,823E-01	
5,298E+00	1,027E+00	
5,310E+00	5,234E-01	
5,322E+00	1,196E+00	
5,334E+00	1,138E+00	
5,347E+00	8,177E-01	
5,359E+00	8,259E-01	
5,371E+00	1,056E+00	
5,383E+00	1,004E+00	
5,396E+00	2,584E-01	
5,408E+00	9,477E-01	
5,420E+00	9,176E-01	
5,432E+00	8,183E-01	
5,444E+00	8,405E-01	
5,457E+00	1,076E+00	
5,469E+00	7,793E-01	
5,481E+00	3,786E-01	
5,493E+00	6,035E-01	
5,505E+00	5,449E-01	
5,518E+00	1,141E+00	
5,530E+00	4,577E-01	
5,542E+00	9,809E-01	
5,554E+00	4,602E-01	
5,566E+00	3,397E-01	
5,579E+00	5,202E-01	
5,591E+00	5,558E-01	
5,603E+00	5,182E-01	
5,615E+00	7,082E-01	
5,627E+00	6,731E-01	
5,640E+00	5,597E-01	
5,652E+00	4,949E-01	
5,664E+00	4,556E-01	
5,676E+00	3,678E-01	
5,688E+00	6,046E-01	
5,701E+00	4,184E-01	
5,713E+00	3,557E-01	
5,725E+00	2,474E-01	
5,737E+00	7,639E-01	
5,750E+00	2,561E-01	
5,762E+00	5,226E-01	
5,774E+00	1,143E-01	
5,786E+00	7,317E-01	
5,798E+00	2,908E-01	
5,811E+00	6,085E-01	
5,823E+00	1,717E-01	
5,835E+00	2,057E-01	
5,847E+00	3,340E-01	
5,859E+00	1,720E-01	
5,872E+00	4,948E-01	
5,884E+00	5,049E-01	
5,896E+00	3,145E-01	
5,908E+00	5,036E-01	
5,920E+00	1,445E-01	
5,933E+00	2,161E-01	
5,945E+00	3,280E-01	
5,957E+00	2,642E-01	
5,969E+00	5,509E-01	
5,981E+00	2,473E-01	
5,994E+00	2,088E-01	
6,006E+00	1,466E-01	
6,018E+00	2,167E-01	
6,030E+00	1,145E-01	
6,042E+00	1,681E-01	
6,055E+00	2,220E-01	
6,067E+00	1,049E-01	
6,079E+00	2,139E-01	
6,091E+00	3,524E-01	
6,104E+00	2,880E-01	
6,116E+00	3,533E-02	
6,128E+00	3,342E-01	
6,140E+00	2,225E-01	
6,152E+00	1,530E-01	
6,165E+00	4,834E-01	
6,177E+00	1,553E-01	
6,189E+00	5,152E-01	
6,201E+00	2,461E-01	
6,213E+00	2,351E-01	
6,226E+00	6,021E-02	
6,238E+00	1,685E-01	
6,250E+00	4,517E-01	
6,262E+00	5,641E-01	
6,274E+00	1,646E-01	
6,287E+00	7,691E-01	
6,299E+00	1,631E-01	
6,311E+00	3,459E-01	
6,323E+00	6,553E-02	
6,335E+00	6,774E-02	
6,348E+00	4,175E-01	
6,360E+00	6,460E-01	
6,372E+00	3,100E-01	
6,384E+00	4,597E-01	
6,396E+00	2,747E-01	
6,409E+00	2,152E-01	
6,421E+00	1,762E-01	
6,433E+00	5,734E-01	
6,445E+00	3,438E-01	
6,458E+00	2,811E-01	
6,470E+00	3,382E-01	
6,482E+00	5,406E-01	
6,494E+00	4,356E-01	
6,506E+00	6,060E-01	
6,519E+00	2,942E-01	
6,531E+00	5,865E-01	
6,543E+00	3,800E-01	
6,555E+00	5,486E-01	
6,567E+00	3,061E-01	
6,580E+00	1,906E-01	
6,592E+00	1,842E-01	
6,604E+00	7,922E-01	
6,616E+00	9,121E-01	
6,628E+00	4,464E-01	
6,641E+00	6,944E-01	
6,653E+00	9,094E-01	
6,665E+00	4,290E-01	
6,677E+00	1,441E-01	
6,689E+00	2,485E-01	
6,702E+00	8,789E-01	
