[front_panel]
mode=T1 - R1
output=10 dB
gain=25 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Distance | Gap | Interval [µs]	Cepstrum	
3,056E+01	2,215E+01	
3,064E+01	1,253E+01	
3,072E+01	3,721E+00	
3,080E+01	6,899E+00	
3,088E+01	5,379E+00	
3,096E+01	2,035E+00	
3,104E+01	2,858E+00	
3,112E+01	5,342E+00	
3,120E+01	3,803E+00	
3,128E+01	7,137E+00	
3,136E+01	6,207E+00	
3,144E+01	5,205E+00	
3,152E+01	3,681E+00	
3,160E+01	1,551E+00	
3,168E+01	2,823E+00	
3,176E+01	6,774E+00	
3,184E+01	8,284E+00	
3,192E+01	8,681E+00	
3,200E+01	4,276E+00	
3,208E+01	6,623E+00	
3,216E+01	9,094E+00	
3,224E+01	9,567E+00	
3,232E+01	1,432E+01	
3,240E+01	2,176E+01	
3,248E+01	2,331E+01	
3,256E+01	2,360E+01	
3,264E+01	2,411E+01	
3,272E+01	2,611E+01	
3,280E+01	3,021E+01	
3,288E+01	3,294E+01	
3,296E+01	3,797E+01	
3,304E+01	4,207E+01	
3,312E+01	4,957E+01	
3,320E+01	5,045E+01	
3,328E+01	4,896E+01	
3,336E+01	4,387E+01	
3,344E+01	3,343E+01	
3,352E+01	2,171E+01	
3,360E+01	1,196E+01	
3,368E+01	5,841E+00	
3,376E+01	6,301E+00	
3,384E+01	7,165E+00	
3,392E+01	9,335E+00	
3,400E+01	8,014E+00	
3,408E+01	9,523E+00	
3,416E+01	1,431E+01	
3,424E+01	1,281E+01	
3,432E+01	1,442E+01	
3,440E+01	1,616E+01	
3,448E+01	1,744E+01	
3,456E+01	1,821E+01	
3,464E+01	1,762E+01	
3,472E+01	1,997E+01	
3,480E+01	1,911E+01	
3,488E+01	1,577E+01	
3,496E+01	1,157E+01	
3,504E+01	1,442E+01	
3,512E+01	1,624E+01	
3,520E+01	1,344E+01	
3,528E+01	1,154E+01	
3,536E+01	7,717E+00	
3,544E+01	4,690E+00	
3,552E+01	5,122E+00	
3,560E+01	6,964E+00	
3,568E+01	3,848E+00	
3,576E+01	3,062E+00	
3,584E+01	3,882E+00	
3,592E+01	5,858E+00	
3,600E+01	7,022E+00	
3,608E+01	7,456E+00	
3,616E+01	9,436E+00	
3,624E+01	6,919E+00	
3,632E+01	6,815E+00	
3,640E+01	5,368E+00	
